Frequency,Power Loss,Distance,Height Difference,Peak Avg. Height Diff,Peak Avg. Dist.,Max Peak,Peak Count
0.449425,115.41,0.5860681196709985,-4.0,1.0,0.27135652965057444,3.0,2
0.449425,116.09,0.6044701332008932,-4.0,0,0,0,1
0.449425,117.52,0.5919947053761163,-4.0,4.0,0.2588792758325483,5.0,2
0.449425,118.41,0.5919947053761163,-4.0,4.0,0.2588792758325483,5.0,2
0.449425,118.84,0.610397449299094,-4.0,5.0,0.25887927583254694,7.0,2
0.449425,110.72999999999999,0.610397449299094,-4.0,5.0,0.25887927583254694,7.0,2
0.449425,110.03,0.6288003758196764,-5.0,5.0,0.2588792758325482,7.0,2
0.449425,109.37,0.6596776345778024,-3.0,5.0,0.25887854543335354,7.0,2
0.449425,112.95,0.70895781985412,-2.0,5.0,0.258878910632553,7.0,2
0.449425,116.09,0.70895781985412,-2.0,5.0,0.258878910632553,7.0,2
0.449425,116.02,0.7398348960106481,-2.0,5.0,0.25887927583254694,7.0,2
0.449425,113.99000000000001,0.7707119721637261,-2.0,4.0,0.2588785454333522,5.0,2
0.449425,117.98,0.8199916096388091,-3.0,1.5,0.2588778150283541,5.0,3
0.449425,115.46,0.8015890483137034,-3.0,4.0,0.3081585481149855,4.0,2
0.449425,118.51,0.7831866695867354,-3.0,4.0,0.38831836594550806,4.0,2
0.449425,114.09,0.8140639283331661,-2.0,2.5,0.28975598677738995,4.0,3
0.449425,118.32,0.7956620974022081,-1.0,2.0,0.20039717078314362,4.0,3
0.449425,116.57,0.8265395387454484,0.0,2.3333333333333335,0.19732925552315017,4.0,4
0.449425,119.34,0.808138073013157,1.0,2.0,0.20663543249140637,4.0,3
0.449425,119.31,0.8206147790219739,-1.0,1.5,0.2283135104744674,3.0,3
0.449425,120.99,0.8206147790219739,-1.0,1.5,0.2283135104744674,3.0,3
0.449425,117.15,0.8022140436902077,-1.0,0.5,0.2191131428085843,3.0,3
0.449425,115.62,0.771336054548566,-1.0,1.5,0.20367387433444467,3.0,3
0.449425,115.09,0.7529355018175955,0.0,0.5,0.19447359796896008,3.0,3
0.449425,115.6,0.7220573300735658,0.0,1.0,0.17903423819415692,3.0,3
0.449425,113.47,0.6911791583290018,-1.0,1.5,0.2283135104744674,3.0,3
0.449425,114.29,0.6603009865832898,-3.0,2.0,0.21287433330046068,4.0,3
0.449425,113.41,0.6110217143040413,-3.0,0.0,0.2161523150539657,3.0,2
0.449425,114.74,0.6110217143040413,-3.0,0.0,0.2161523150539657,3.0,2
0.449425,117.87,0.5926209789722751,-1.0,1.0,0.17903423819415692,3.0,3
0.449425,118.0,0.5926209789722751,-1.0,1.0,0.17903423819415692,3.0,3
0.449425,114.23,0.5742204262413059,1.0,0.0,0.2161523150539657,3.0,2
0.449425,114.47,0.5558202387127237,1.0,0.0,0.2161523150539657,3.0,2
0.449425,112.16,0.5558202387127237,1.0,0.0,0.2161523150539657,3.0,2
0.449425,110.52000000000001,0.5742206088426329,0.0,0.0,0.2161523150539657,3.0,2
0.449425,106.71000000000001,0.5926213441743978,-6.0,0.0,0.2161523150539657,3.0,2
0.449425,106.18,0.5926213441743978,-6.0,0.0,0.2161523150539657,3.0,2
0.449425,106.59,0.6110224447069581,-6.0,0.0,0.23455341558652604,3.0,2
0.449425,103.34,0.580144090357616,-2.0,0,0,0,1
0.449425,106.53999999999999,0.5985457386893731,0.0,2.5,0.166556984376178,3.0,3
0.449425,109.67,0.5985457386893731,0.0,2.5,0.166556984376178,3.0,3
0.449425,109.31,0.5860697630677917,2.0,3.0,0.36991744801241133,3.0,2
0.449425,107.36,0.55519177391393,1.0,2.0,0.14487908899081076,3.0,3
0.449425,110.06,0.5735947004345138,1.0,1.0,0.3699183610092172,3.0,2
0.449425,108.89,0.5611201855924528,3.0,2.5,0.16031890526463508,3.0,3
0.449425,109.93,0.5611201855924528,3.0,2.5,0.16031890526463508,3.0,3
0.449425,111.00999999999999,0.5486451229560739,5.0,3.0,0.24047835789750865,3.0,2
0.449425,110.85,0.5486451229560739,5.0,3.0,0.24047835789750865,3.0,2
0.449425,109.72999999999999,0.5177669512014116,4.0,0,0,0,1
0.449425,107.81,0.5052907929761141,3.0,0,0,0,1
0.449425,108.94,0.47441207342464764,3.0,0,0,0,1
0.449425,108.24000000000001,0.49281372175640464,3.0,0,0,0,1
0.449425,109.16,0.48194011144980736,4.0,0,0,0,1
0.449425,108.91,0.48194011144980736,4.0,0,0,0,1
0.449425,107.19,0.47106702143237816,6.0,0,0,0,1
0.449425,106.65,0.4986025633469934,5.0,0,0,0,1
0.449425,106.83,0.48773098247311764,5.0,0,0,0,1
0.449425,104.16,0.48773098247311764,5.0,0,0,0,1
0.449425,101.47,0.47685968757700276,4.0,0,0,0,0
0.449425,97.75,0.5043967903109886,-5.0,0,0,0,0
0.449425,101.53,0.4935246616323317,-5.0,0,0,0,0
0.449425,102.65,0.4826521160641561,-7.0,0,0,0,1
0.449425,104.97,0.4717791536076295,-19.0,0,0,0,0
0.449425,106.45,0.4717791536076295,-19.0,0,0,0,0
0.449425,108.05,0.4993145887854344,-15.0,0,0,0,1
0.449425,110.53999999999999,0.5301934909361019,-9.0,0,0,0,1
0.449425,109.89,0.5610723930867695,-8.0,0,0,0,1
0.449425,108.87,0.5919512952374371,-7.0,0,0,0,1
0.449425,105.35,0.6228301973881046,-7.0,0,0,0,1
0.449425,107.45,0.6228301973881046,-7.0,0,0,0,1
0.449425,109.35,0.6612390119100618,-6.0,8.0,0.10769653119458189,19.0,2
0.449425,112.17,0.6996478264320173,-3.0,8.0,0.11522644356586975,19.0,2
0.449425,113.15,0.6687689242813497,-2.0,8.0,0.11522644356586975,19.0,2
0.449425,113.19,0.7071777388033068,0.0,8.0,0.11522644356586975,19.0,2
0.449425,116.05,0.6762988366526392,3.0,8.0,0.11522644356586975,19.0,2
0.449425,117.39,0.7147076511745947,4.0,8.0,0.11522644356586975,19.0,2
0.449425,116.29,0.6838287490239271,5.0,8.0,0.11522644356586975,19.0,2
0.449425,118.5,0.7222375635458842,5.0,8.0,0.11522644356586975,19.0,2
0.449425,118.82,0.7297674759171737,5.0,8.0,0.11522644356586975,19.0,2
0.449425,120.32,0.7297674759171737,5.0,8.0,0.11522644356586975,19.0,2
0.449425,119.0,0.7790496697832815,4.0,8.0,0.11522644356586975,19.0,2
0.449425,118.0,0.7790496697832815,4.0,8.0,0.11522644356586975,19.0,2
0.449425,118.29,0.7899226322398079,5.0,11.5,0.1398674233538702,19.0,3
0.449425,121.83,0.8007951778079835,4.0,10.5,0.14530378743662808,19.0,3
0.449425,121.35,0.8116673064866403,1.0,8.5,0.15073994307475957,19.0,3
0.449425,120.66,0.8116673064866403,1.0,8.5,0.15073994307475957,19.0,3
0.449425,123.05,0.8225390182746106,-1.0,16.0,0.3014784011912091,19.0,2
0.449425,124.15,0.8718191276926827,2.0,4.0,0.17537993233349075,10.0,3
0.449425,119.21,0.8718191276926827,2.0,4.0,0.17537993233349075,10.0,3
0.449425,118.95,0.8826900056953314,3.0,14.0,0.23842809868739082,13.0,3
0.449425,116.07,0.8935604668042324,2.0,12.0,0.30147394629072466,14.0,2
0.449425,116.32,0.9044305110177738,3.0,14.0,0.2630655211394045,15.0,2
0.449425,114.71,0.9153001383347877,3.0,9.0,0.2630642704568309,8.0,2
0.449425,117.67,0.9261693487541064,4.0,4.0,0.24386095711677913,3.0,3
0.449425,122.27,0.9261693487541064,4.0,4.0,0.24386095711677913,3.0,3
0.449425,125.58,0.964578163276063,1.0,3.5,0.24386095711677847,3.0,3
0.449425,125.76,1.0029869777980192,1.0,9.0,0.2630642704568309,8.0,2
0.449425,128.45,1.0029869777980192,1.0,9.0,0.2630642704568309,8.0,2
0.449425,129.55,1.041395792319977,3.0,4.5,0.21921963963783264,8.0,3
0.449425,130.15,1.079804606841932,4.0,9.0,0.23842346116902952,15.0,3
0.449425,130.87,1.079804606841932,4.0,9.0,0.23842346116902952,15.0,3
0.449425,129.65,1.1182134213638892,3.0,9.0,0.2438609571167792,15.0,3
0.449425,128.03,1.1566222358858465,-1.0,8.5,0.23842462055362174,14.0,3
0.449425,123.82,1.1566222358858465,-1.0,8.5,0.23842462055362174,14.0,3
0.449425,123.76,1.2058998439282578,2.0,7.0,0.20460499699264442,15.0,4
0.449425,122.68,1.2167682205486823,2.0,3.0,0.20460402423470103,8.0,4
0.449425,124.75,1.2167682205486823,2.0,3.0,0.20460402423470103,8.0,4
0.449425,123.59,1.266044994790307,4.0,3.0,0.20460359816989862,8.0,4
0.449425,122.65,1.2769125376071646,2.0,4.25,0.2192180762668535,3.0,5
0.449425,123.55,1.3153213521291214,1.0,4.0,0.2046049969926441,3.0,4
0.449425,121.55,1.3261887123325524,1.0,4.75,0.20689771039791066,3.0,5
0.449425,121.22,1.337056592795322,1.0,2.3333333333333335,0.2922893786957605,6.0,4
0.449425,130.95,1.3479249935234807,1.0,3.0,0.30509045862108,6.0,4
0.449425,130.65,1.3587939145230787,1.0,2.5,0.22193401622594755,5.0,5
0.449425,133.5,1.3972010889953301,1.0,2.75,0.23153580984401054,6.0,5
0.449425,132.4,1.4080700616782238,1.0,2.2,0.212620182593973,3.0,6
0.449425,131.54000000000002,1.4189395546414911,1.0,2.0,0.26849264713370324,3.0,5
0.449425,132.39,1.4298095678907394,-1.0,1.4,0.21696815687729015,3.0,6
0.449425,133.75,1.4406801014320167,-3.0,1.6666666666666667,0.27755473073010867,3.0,4
0.449425,129.72,1.4406801014320167,-3.0,1.6666666666666667,0.27755473073010867,3.0,4
0.449425,128.75,1.4790856358103552,-4.0,1.25,0.2177674316421656,3.0,5
0.449425,128.15,1.4790856358103552,-4.0,1.25,0.2177674316421656,3.0,5
0.449425,128.48000000000002,1.5174914044905297,-7.0,1.4,0.21696815687729015,4.0,6
0.449425,130.12,1.5558974074716398,-8.0,2.25,0.25889108781341796,7.0,5
0.449425,127.06,1.5558974074716398,-8.0,2.25,0.25889108781341796,7.0,5
0.449425,128.79000000000002,1.5943036447527814,-9.0,2.0,0.26849264713370324,8.0,5
0.449425,129.15,1.632710116333056,-8.0,3.2,0.2575483030862845,9.0,6
0.449425,130.07,1.632710116333056,-8.0,3.2,0.2575483030862845,9.0,6
0.449425,124.04,1.6711168222115578,-10.0,3.6666666666666665,0.21462409356312714,11.0,7
0.449425,125.23,1.6986565090276202,-12.0,4.0,0.32882095782077914,13.0,5
0.449425,127.65,1.6986565090276202,-12.0,4.0,0.32882095782077914,13.0,5
0.449425,127.39,1.7370641520900136,-13.0,3.5,0.32882095782077947,13.0,5
0.449425,128.51999999999998,1.7261978875835486,-12.0,4.2,0.22030317003362238,12.0,6
0.449425,129.04000000000002,1.7537409578561496,-12.0,4.0,0.2046049969926441,11.0,4
0.449425,129.8,1.7921497723781052,-15.0,3.0,0.20460359816989862,12.0,4
0.449425,129.1,1.7921497723781052,-15.0,3.0,0.20460359816989862,12.0,4
0.449425,130.43,1.8196931286130016,-17.0,8.5,0.27538025888990414,15.0,5
0.449425,133.97,1.8196931286130016,-17.0,8.5,0.27538025888990414,15.0,5
0.449425,134.32999999999998,1.858101943134958,-18.0,5.25,0.1753757634043173,17.0,5
0.449425,132.42000000000002,1.8472360679392472,-17.0,9.8,0.27074403289404947,17.0,6
0.449425,135.26,1.8856448824612047,-15.0,4.875,0.18017553352727983,17.0,9
0.449425,132.93,1.9349195721788703,-16.0,8.5,0.2548479925099088,17.0,7
0.449425,130.61,1.9349195721788703,-16.0,8.5,0.2548479925099088,17.0,7
0.449425,133.4,1.9733283867008278,-17.0,4.875,0.18017553352727983,17.0,9
0.449425,130.18,2.011737201222783,-17.0,4.285714285714286,0.2004284909644035,17.0,8
0.449425,130.15,2.011737201222783,-17.0,4.285714285714286,0.2004284909644035,17.0,8
0.449425,135.07999999999998,2.0501460157447404,-19.0,7.2,0.2707440328940499,19.0,6
0.449425,137.18,2.0610114740318015,-20.0,4.875,0.18017553352727983,19.0,9
0.449425,137.37,2.071876515409931,-21.0,5.0,0.21921651288300018,21.0,7
0.449425,137.32,2.082741139877518,-20.0,8.8,0.2981316225878267,23.0,6
0.449425,140.14,2.0936053474333955,-18.0,8.25,0.3630618414180631,23.0,5
0.449425,140.2,2.0936053474333955,-18.0,8.25,0.3630618414180631,23.0,5
0.449425,137.24,2.104469138076395,-17.0,7.75,0.406904577202552,21.0,5
0.449425,137.3,2.1261968743633486,-17.0,3.857142857142857,0.2380019733241859,21.0,8
0.449425,137.07,2.164604986012273,-17.0,5.833333333333333,0.2776689688782166,19.0,7
0.449425,135.8,2.164604986012273,-17.0,5.833333333333333,0.2776689688782166,19.0,7
0.449425,136.98000000000002,2.203013331953112,-16.0,5.285714285714286,0.23800260928876416,19.0,8
0.449425,135.07999999999998,2.241421912184959,-14.0,7.4,0.34305994569942416,19.0,6
0.449425,135.19,2.2798307267069156,-14.0,7.75,0.406904577202552,21.0,5
0.449425,132.55,2.2798307267069156,-14.0,7.75,0.406904577202552,21.0,5
0.449425,141.22,2.3182395412288725,-15.0,7.75,0.372661980348602,21.0,5
0.449425,140.99,2.3182395412288725,-15.0,7.75,0.372661980348602,21.0,5
0.449425,140.26999999999998,2.356648355750829,-17.0,8.25,0.3630618414180631,23.0,5
0.449425,142.32,2.395057170272785,-15.0,10.0,0.35842044495856007,23.0,6
0.449425,138.22,2.4334659847947417,-15.0,8.166666666666666,0.2712697181350348,23.0,7
0.449425,138.45,2.4226030279810007,-15.0,4.714285714285714,0.21999196316123903,21.0,8
0.449425,138.69,2.373330839730089,-16.0,8.0,0.25053323141287503,22.0,8
0.449425,139.01999999999998,2.373330839730089,-16.0,8.0,0.25053323141287503,22.0,8
0.449425,139.84,2.36246704908709,-17.0,4.5,0.20825624368351045,23.0,9
0.449425,138.15,2.351602841531212,-15.0,6.142857142857143,0.23800763126554816,24.0,8
0.449425,136.74,2.340738217063625,-13.0,6.25,0.2068984722461844,25.0,9
0.449425,137.97,2.291464361163539,-15.0,7.0,0.24194237035591876,24.0,8
0.449425,138.9,2.2805989028764784,-14.0,7.0,0.24039007638487547,22.0,8
0.449425,142.23000000000002,2.2805989028764784,-14.0,7.0,0.24039007638487547,22.0,8
0.449425,138.23000000000002,2.2697330276807692,-14.0,6.428571428571429,0.23883772285572188,19.0,8
0.449425,140.19,2.2588667355780196,-13.0,7.166666666666667,0.2768328613967286,19.0,7
0.449425,142.01,2.220457921056062,-15.0,7.166666666666667,0.27864463479000867,19.0,7
0.449425,143.20999999999998,2.2095912120474424,-13.0,6.285714285714286,0.23728581183238986,19.0,8
0.449425,146.32,2.19872408613412,-11.0,6.142857142857143,0.23573330571569592,19.0,8
0.449425,145.6,2.19872408613412,-11.0,6.142857142857143,0.23573330571569592,19.0,8
0.449425,144.22,2.1494477287953058,-11.0,7.166666666666667,0.2375806562565902,19.0,7
0.449425,142.95,2.160315271612163,-12.0,4.888888888888889,0.18334776220736146,19.0,10
0.449425,141.89,2.160315271612163,-12.0,4.888888888888889,0.18334776220736146,19.0,10
0.449425,143.1,2.2095912120474424,-13.0,6.285714285714286,0.23728581183238986,19.0,8
0.449425,142.01,2.220457921056062,-15.0,7.166666666666667,0.27864463479000867,19.0,7
